"priority","neteaseAlbumId","albumSlug","albumTitle","artistNames","releaseYear","releaseType","currentCoreGenres","matchStatus","rymReference","rymDisplayTitle","rymArtistNames","rymReleaseYear","primaryGenres","secondaryGenres","descriptors","verifiedAt","verificationMethod","verifiedBy","notes"
"1","287974232","wake-after-the-rain","在雨后醒来","艾志恒Asen","2025","album","hip-hop","","","","","","","","","","","",""
"2","286248593","super-mr-sun","超级孙先生","SASIOVERLXRD","2025","album","hip-hop","","","","","","","","","","","",""
"3","18915","fantasy-jay-chou","范特西","周杰伦","2001","album","pop","","","","","","","","","","","",""
"4","29748","fuzao","浮躁","王菲","1996","album","experimental-pop","","","","","","","","","","","",""
"5","7608","black-dream","黑梦","窦唯","1994","album","rock","","","","","","","","","","","",""
"6","120605500","inside-the-cable-temple","冀西南林路行","万能青年旅店","2020","album","rock","","","","","","","","","","","",""
"7","15190","black-tangerine","黑色柳丁","陶喆","2002","album","pop","","","","","","","","","","","",""
"8","6491","u87","U87","陈奕迅","2005","album","pop","","","","","","","","","","","",""
"9","19038","red-leslie","红","张国荣","1996","album","pop","","","","","","","","","","","",""
"10","3098832","ru-ye","如也","陈粒","2015","album","folk","","","","","","","","","","","",""
"11","7600","shan-he-shui","山河水","窦唯","1998","album","electronic","","","","","","","","","","","",""
"12","6311","rock-n-roll-on-the-new-long-march","新长征路上的摇滚","崔健","1989","album","rock","","","","","","","","","","","",""
"13","38306","omnipotent-youth-society","万能青年旅店 同名专辑","万能青年旅店","2010","album","rock","","","","","","","","","","","",""
"14","162870766","the-clod","瓦合","草东没有派对","2023","album","rock","","","","","","","","","","","",""
"15","37651016","cassa-nova","Cassa Nova","落日飛車 Sunset Rollercoaster","2018","album","dream-pop","","","","","","","","","","","",""
"16","35590687","bathroom","浴室","deca joins","2017","album","indie-rock","","","","","","","","","","","",""
"17","38188","zero-point-seven","0.7","惘闻","2012","album","post-rock","","","","","","","","","","","",""
"18","2646287","rainbow-mountain","彩虹山","文雀","2012","ep","post-rock","","","","","","","","","","","",""
"19","37199","the-most-wonderful-journey","最美妙的旅行","声音玩具","2003","album","rock","","","","","","","","","","","",""
"20","36190","jelly-empire","果冻帝国","木马Muma","2004","album","rock","","","","","","","","","","","",""
"21","84951503","arthropods","Arthropods","33EMYBW","2019","album","electronic","","","","","","","","","","","",""
"22","135678901","birdy-island-remixes","鸟岛(Remixes)","Howie Lee","2021","ep","electronic","","","","","","","","","","","",""
"23","11554","entertainment-world","娱乐世界","林强","1994","album","electronic","","","","","","","","","","","",""
"24","19213","temple-fair-tour","庙会之旅","左小祖咒","1999","album","experimental-rock","","","","","","","","","","","",""
"25","3048030","jims-restaurant","吉姆餐厅","赵雷","2014","album","folk","","","","","","","","","","","",""
"26","15686","everything-is-not-as-bad","这一切没有想象的那么糟","万晓利","2006","album","folk","","","","","","","","","","","",""
"27","14526","virtuous","贤良","苏阳","2006","album","folk","","","","","","","","","","","",""
"28","35559140","black-cab","Black Cab","Higher Brothers","2017","album","hip-hop","","","","","","","","","","","",""
"29","122743105","dark-horse","黑马","马思唯","2021","album","hip-hop","","","","","","","","","","","",""
"30","97168319","science-fiction","科幻小说","法老","2020","album","hip-hop","","","","","","","","","","","",""
"31","75017719","key-to-l","KEY to L","KEY.L刘聪","2019","album","hip-hop","","","","","","","","","","","",""
"32","83826760","air-plan","AIR PLAN","艾热 AIR","2019","album","hip-hop","","","","","","","","","","","",""
"33","169512732","song-of-the-mountain","山歌寥哉","刀郎","2023","album","folk","","","","","","","","","","","",""
"34","1637054","rumours","Rumours","Fleetwood Mac","1977","album","rock","","","","","","","","","","","",""
"35","1724200","blue-joni-mitchell","Blue","Joni Mitchell","1971","album","folk","","","","","","","","","","","",""
"36","2732013","beyonce","BEYONCÉ","Beyoncé","2013","album","pop","","","","","","","","","","","",""
"37","195498828","hit-me-hard-and-soft","HIT ME HARD AND SOFT","Billie Eilish","2024","album","pop","","","","","","","","","","","",""
"38","2093862","first-love","First Love","宇多田ヒカル","1999","album","pop","","","","","","","","","","","",""
"39","158396696","12-ryuichi-sakamoto","12","坂本龍一","2023","album","ambient","","","","","","","","","","","",""
"40","85783683","map-of-the-soul-7","MAP OF THE SOUL : 7","BTS (防弹少年团)","2020","album","pop","","","","","","","","","","","",""
"41","35377328","palette-iu","Palette","IU","2017","album","pop","","","","","","","","","","","",""
"42","2060534","ok-computer","OK Computer","Radiohead","1997","album","alternative-rock","","","","","","","","","","","",""
"43","1742060","hounds-of-love","Hounds Of Love","Kate Bush","1985","album","art-pop","","","","","","","","","","","",""
"44","422052","loveless","loveless","My Bloody Valentine","1991","album","dream-pop","","","","","","","","","","","",""
"45","1761243","souvlaki","Souvlaki","Slowdive","1993","album","dream-pop","","","","","","","","","","","",""
"46","3109151","to-pimp-a-butterfly","To Pimp a Butterfly","Kendrick Lamar","2015","album","hip-hop","","","","","","","","","","","",""
"47","316551","madvillainy","Madvillainy","Madvillain|MF DOOM|Madlib","2004","album","hip-hop","","","","","","","","","","","",""
"48","1609277","discovery-daft-punk","Discovery","Daft Punk","2001","album","electronic","","","","","","","","","","","",""
"49","1533976","untrue","Untrue","Burial","2007","album","electronic","","","","","","","","","","","",""
"50","1956859","master-of-puppets","Master Of Puppets","Metallica","1986","album","metal","","","","","","","","","","","",""
